,Test_score,Train_score,Test_score_drop,Accuracy,Precision,Recall,F1_score,Confusion_matrix
"RandomForestClassifier(n_jobs=-1, random_state=42)",0.8422971741112124,0.9710831447963801,-0.13262095153775116,0.8422971741112124,0.2673611111111111,0.3632075471698113,0.30799999999999994,"[[1771  211]
 [ 135   77]]"
"RandomForestClassifier(max_features='sqrt', n_jobs=-1, random_state=42)",0.8422971741112124,0.9710831447963801,-0.13262095153775116,0.8422971741112124,0.2673611111111111,0.3632075471698113,0.30799999999999994,"[[1771  211]
 [ 135   77]]"
"RandomForestClassifier(max_features='log2', n_jobs=-1, random_state=42)",0.8422971741112124,0.9710831447963801,-0.13262095153775116,0.8422971741112124,0.2673611111111111,0.3632075471698113,0.30799999999999994,"[[1771  211]
 [ 135   77]]"
"RandomForestClassifier(max_depth=20, n_jobs=-1, random_state=42)",0.8372835004557885,0.9695277149321267,-0.13640065409125127,0.8372835004557885,0.2607260726072607,0.37264150943396224,0.30679611650485433,"[[1758  224]
 [ 133   79]]"
"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)",0.8017319963536919,0.9014423076923077,-0.11061197204497118,0.8017319963536919,0.24249422632794457,0.49528301886792453,0.32558139534883723,"[[1654  328]
 [ 107  105]]"
"LogisticRegression(n_jobs=-1, random_state=42)",0.7657247037374658,0.767816742081448,-0.0027246584104313218,0.7657247037374658,0.2332155477031802,0.6226415094339622,0.33933161953727503,"[[1548  434]
 [  80  132]]"
"LogisticRegression(max_iter=300, n_jobs=-1, random_state=42)",0.7657247037374658,0.767816742081448,-0.0027246584104313218,0.7657247037374658,0.2332155477031802,0.6226415094339622,0.33933161953727503,"[[1548  434]
 [  80  132]]"
KNeighborsClassifier(n_jobs=-1),0.7128532360984503,0.8818580316742082,-0.19164626221626868,0.7128532360984503,0.16930379746835442,0.5047169811320755,0.25355450236966826,"[[1457  525]
 [ 105  107]]"
"KNeighborsClassifier(n_jobs=-1, weights='distance')",0.7128532360984503,0.9516402714932126,-0.25092153258718564,0.7128532360984503,0.16930379746835442,0.5047169811320755,0.25355450236966826,"[[1457  525]
 [ 105  107]]"
